Impedance,Phase
1.268e+06,-80.0177
1.27252e+06,-81.5897
1.28422e+06,4.49323
910907,-41.5692
1.29144e+06,-89.3789
1.29533e+06,-91.7698
1.29663e+06,-94.5554
916891,-50.2035
1.29878e+06,-97.0439
1.29826e+06,-97.6454
1.29876e+06,-98.1947
1.29861e+06,-98.8005
1.29813e+06,-99.3072
1.29901e+06,-100.408
1.2991e+06,-100.96
1.29932e+06,-101.517
1.29947e+06,-102.026
1.29825e+06,-102.498
1.29777e+06,-103.519
918037,-59.0231
1.29883e+06,-104.529
1.29843e+06,-105.05
918727,-60.5477
1.29883e+06,-106.022
1.29825e+06,-106.493
917766,-61.9648
1.2982e+06,-107.485
1.2979e+06,-107.957
1.29748e+06,-108.382
917450,-63.8543
917499,-64.3247
1.29775e+06,-109.8
1.29805e+06,-110.273
917169,-65.7118
917480,-66.1831
917533,-66.6077
1.29711e+06,-112.096
917447,-67.5206
916933,-67.9676
1.29659e+06,-113.456
917181,-68.8794
1.2966e+06,-114.323
916600,-69.7713
916334,-70.2148
916251,-70.6595
916082,-71.1034
916081,-71.5509
1.29468e+06,-117.024
916243,-72.4398
916338,-72.8872
915827,-73.3546
1.29487e+06,-118.76
578845,-92.6618
916282,-74.6455
915612,-75.0797
915427,-75.5449
578701,-94.3363
914906,-76.3699
914864,-76.8496
914639,-77.2031
914766,-77.6763
914434,-78.1075
914618,-78.5759
915050,-78.9779
913659,-79.3937
914254,-79.7905
913468,-80.2476
914131,-80.6492
913553,-81.1101
577815,-99.9735
577636,-63.4962
577657,-100.796
577468,-64.3861
913350,-83.249
913073,-83.6396
577802,-65.6325
577305,-102.926
576914,-103.351
912075,-85.3758
912677,-85.8
912272,-86.2267
577029,-105.048
576780,-68.6047
576920,-69.0674
911403,-87.8903
576611,-69.8422
1.25973e+06,-78.13
